=== TOP 500 BIGGEST MARKET CAP ===
No. | Ticker | Company                                      | Sector                 | Industry                                 | Country | Market Cap | P/E     | Price   | Change  | Volume     
180 | DAL    | Delta Air Lines, Inc.                        | Industrials            | Airlines                                 | USA     | 16.92B     | -       | 25.72   | -0.85%  | 14,429,116 
181 | ZS     | Zscaler, Inc.                                | Technology             | Software - Infrastructure                | USA     | 16.81B     | -       | 126.97  | 2.08%   | 2,964,581  
182 | BKR    | Baker Hughes Company                         | Energy                 | Oil & Gas Equipment & Services           | USA     | 16.64B     | -       | 15.81   | -0.38%  | 8,648,469  
183 | INVH   | Invitation Homes Inc.                        | Real Estate            | REIT - Residential                       | USA     | 16.64B     | 90.59   | 29.35   | 2.91%   | 3,206,457  
184 | HOLX   | Hologic, Inc.                                | Healthcare             | Medical Instruments & Supplies           | USA     | 16.58B     | 38.03   | 64.00   | 3.06%   | 2,196,521  
185 | WORK   | Slack Technologies, Inc.                     | Technology             | Software - Application                   | USA     | 16.46B     | -       | 28.60   | -0.52%  | 10,972,704 
186 | DFS    | Discover Financial Services                  | Financial              | Credit Services                          | USA     | 16.13B     | 16.32   | 51.83   | 3.43%   | 2,579,966  
187 | VIAC   | ViacomCBS Inc.                               | Communication Services | Entertainment                            | USA     | 15.90B     | 5.87    | 25.29   | 3.14%   | 6,709,529  
188 | OXY    | Occidental Petroleum Corporation             | Energy                 | Oil & Gas E&P                            | USA     | 15.71B     | -       | 17.03   | 4.16%   | 16,327,410 
189 | HES    | Hess Corporation                             | Energy                 | Oil & Gas E&P                            | USA     | 15.53B     | -       | 50.00   | 3.95%   | 2,487,807  
190 | FOXA   | Fox Corporation                              | Communication Services | Broadcasting                             | USA     | 15.34B     | 12.07   | 25.86   | 0.47%   | 2,170,134  
191 | PEAK   | Healthpeak Properties, Inc.                  | Real Estate            | REIT - Healthcare Facilities             | USA     | 15.21B     | 55.69   | 27.90   | 2.09%   | 2,495,323  
192 | TER    | Teradyne, Inc.                               | Technology             | Semiconductor Equipment & Materials      | USA     | 15.17B     | 25.61   | 88.77   | 2.03%   | 2,317,371  
193 | SSNC   | SS&C Technologies Holdings, Inc.             | Technology             | Software - Application                   | USA     | 15.14B     | 33.73   | 58.19   | 3.17%   | 4,011,380  
194 | ATUS   | Altice USA, Inc.                             | Communication Services | Telecom Services                         | USA     | 14.97B     | 101.57  | 25.19   | 3.83%   | 11,260,099 
195 | MAS    | Masco Corporation                            | Industrials            | Building Products & Equipment            | USA     | 14.91B     | 24.22   | 56.34   | 3.41%   | 2,146,543  
196 | DRE    | Duke Realty Corporation                      | Real Estate            | REIT - Industrial                        | USA     | 14.81B     | 36.41   | 40.20   | 4.61%   | 2,519,079  
197 | PINS   | Pinterest, Inc.                              | Communication Services | Internet Content & Information           | USA     | 14.69B     | -       | 24.95   | 3.96%   | 9,501,200  
198 | VTR    | Ventas, Inc.                                 | Real Estate            | REIT - Healthcare Facilities             | USA     | 14.69B     | 27.19   | 39.07   | 4.55%   | 2,762,347  
199 | IP     | International Paper Company                  | Consumer Cyclical      | Packaging & Containers                   | USA     | 14.57B     | 22.10   | 36.75   | 1.60%   | 3,115,282  
200 | FE     | FirstEnergy Corp.                            | Utilities              | Utilities - Diversified                  | USA     | 14.42B     | 26.89   | 28.64   | -1.72%  | 13,088,183 
201 | FITB   | Fifth Third Bancorp                          | Financial              | Banks - Regional                         | USA     | 14.14B     | 10.31   | 20.00   | 3.79%   | 7,425,567  
202 | QRVO   | Qorvo, Inc.                                  | Technology             | Semiconductors                           | USA     | 13.92B     | 41.01   | 115.28  | 1.67%   | 2,510,672  
203 | SYF    | Synchrony Financial                          | Financial              | Credit Services                          | USA     | 13.78B     | 7.30    | 23.78   | 3.03%   | 4,074,909  
204 | WDC    | Western Digital Corporation                  | Technology             | Computer Hardware                        | USA     | 13.70B     | -       | 42.42   | -1.00%  | 5,386,162  
205 | PKI    | PerkinElmer, Inc.                            | Healthcare             | Diagnostics & Research                   | USA     | 13.53B     | 58.65   | 119.64  | 5.89%   | 3,076,165  
206 | HAL    | Halliburton Company                          | Energy                 | Oil & Gas Equipment & Services           | USA     | 13.26B     | -       | 15.07   | 2.87%   | 13,641,553 
207 | OKE    | ONEOK, Inc.                                  | Energy                 | Oil & Gas Midstream                      | USA     | 13.19B     | 15.48   | 29.72   | 5.92%   | 10,749,817 
208 | ETSY   | Etsy, Inc.                                   | Consumer Cyclical      | Internet Retail                          | USA     | 13.01B     | 184.22  | 108.69  | 6.09%   | 2,759,970  
209 | NLOK   | NortonLifeLock Inc.                          | Technology             | Software - Infrastructure                | USA     | 12.97B     | 23.64   | 21.18   | 2.97%   | 4,043,822  
210 | NUE    | Nucor Corporation                            | Basic Materials        | Steel                                    | USA     | 12.95B     | 10.44   | 43.26   | 1.38%   | 2,117,042  
211 | NKLA   | Nikola Corporation                           | Consumer Cyclical      | Auto Manufacturers                       | USA     | 12.79B     | 511.97  | 31.23   | -4.64%  | 12,292,561 
212 | HPE    | Hewlett Packard Enterprise Company           | Technology             | Communication Equipment                  | USA     | 12.73B     | 154.13  | 9.71    | 2.43%   | 10,813,731 
213 | CHRW   | C.H. Robinson Worldwide, Inc.                | Industrials            | Integrated Freight & Logistics           | USA     | 12.70B     | 26.50   | 95.28   | 9.33%   | 5,581,881  
214 | KEY    | KeyCorp                                      | Financial              | Banks - Regional                         | USA     | 12.41B     | 11.27   | 12.56   | 4.75%   | 11,273,090 
215 | VICI   | VICI Properties Inc.                         | Real Estate            | REIT - Diversified                       | USA     | 12.40B     | 25.62   | 21.42   | 3.43%   | 3,426,884  
216 | DT     | Dynatrace, Inc.                              | Technology             | Software - Application                   | USA     | 12.15B     | -       | 41.91   | 2.87%   | 3,924,268  
217 | DKNG   | DraftKings Inc.                              | Financial              | Shell Companies                          | USA     | 12.13B     | 652.55  | 35.89   | 3.64%   | 10,996,216 
218 | LVGO   | Livongo Health, Inc.                         | Healthcare             | Medical Devices                          | USA     | 12.08B     | -       | 121.00  | 8.75%   | 6,349,807  
219 | NET    | Cloudflare, Inc.                             | Technology             | Software - Infrastructure                | USA     | 11.99B     | -       | 38.70   | 2.79%   | 2,907,353  
220 | AVTR   | Avantor, Inc.                                | Basic Materials        | Specialty Chemicals                      | USA     | 11.66B     | -       | 19.64   | 3.64%   | 5,993,805  
221 | PHM    | PulteGroup, Inc.                             | Consumer Cyclical      | Residential Construction                 | USA     | 11.61B     | 10.53   | 44.70   | 2.78%   | 2,743,316  
222 | OMC    | Omnicom Group Inc.                           | Communication Services | Advertising Agencies                     | USA     | 11.53B     | 8.88    | 54.02   | -1.17%  | 5,683,226  
223 | ZEN    | Zendesk, Inc.                                | Technology             | Software - Application                   | USA     | 11.43B     | -       | 99.32   | 4.43%   | 2,102,233  
224 | CFG    | Citizens Financial Group, Inc.               | Financial              | Banks - Regional                         | USA     | 11.02B     | 10.14   | 25.35   | 4.84%   | 4,736,877  
225 | MPW    | Medical Properties Trust, Inc.               | Real Estate            | REIT - Healthcare Facilities             | USA     | 10.78B     | 24.85   | 20.30   | 3.15%   | 4,150,391  
226 | RF     | Regions Financial Corporation                | Financial              | Banks - Regional                         | USA     | 10.71B     | 16.60   | 11.04   | 4.74%   | 9,891,181  
227 | CTL    | CenturyLink, Inc.                            | Communication Services | Telecom Services                         | USA     | 10.69B     | 8.75    | 9.84    | -0.51%  | 7,678,082  
228 | CCL    | Carnival Corporation & Plc                   | Consumer Cyclical      | Travel Services                          | USA     | 10.66B     | -       | 14.65   | 2.23%   | 19,312,272 
229 | NLY    | Annaly Capital Management, Inc.              | Real Estate            | REIT - Mortgage                          | USA     | 10.66B     | -       | 7.43    | 1.78%   | 11,056,545 
230 | RCL    | Royal Caribbean Cruises Ltd.                 | Consumer Cyclical      | Travel Services                          | USA     | 10.60B     | 60.07   | 51.00   | 0.33%   | 4,902,071  
231 | BEN    | Franklin Resources, Inc.                     | Financial              | Asset Management                         | USA     | 10.56B     | 10.83   | 21.12   | 2.72%   | 5,439,180  
232 | AES    | The AES Corporation                          | Utilities              | Utilities - Diversified                  | USA     | 10.53B     | 35.61   | 15.56   | 2.37%   | 4,105,456  
233 | FBHS   | Fortune Brands Home & Security, Inc.         | Consumer Cyclical      | Furnishings, Fixtures & Appliances       | USA     | 10.48B     | 23.45   | 75.95   | 5.06%   | 2,076,620  
234 | UDR    | UDR, Inc.                                    | Real Estate            | REIT - Residential                       | USA     | 10.44B     | 63.51   | 35.25   | -1.76%  | 2,848,112  
235 | ZNGA   | Zynga Inc.                                   | Communication Services | Electronic Gaming & Multimedia           | USA     | 10.36B     | 151.41  | 9.69    | 2.11%   | 11,753,617 
236 | WU     | The Western Union Company                    | Financial              | Credit Services                          | USA     | 10.03B     | 9.74    | 24.15   | 7.52%   | 10,641,884 
237 | HSIC   | Henry Schein, Inc.                           | Healthcare             | Medical Distribution                     | USA     | 10.01B     | 14.18   | 68.71   | 4.26%   | 2,686,793  
238 | CNP    | CenterPoint Energy, Inc.                     | Utilities              | Utilities - Regulated Gas                | USA     | 10.00B     | -       | 19.43   | 0.41%   | 4,183,596  
239 | DRI    | Darden Restaurants, Inc.                     | Consumer Cyclical      | Restaurants                              | USA     | 9.92B      | -       | 78.84   | 3.96%   | 2,027,837  
240 | NTAP   | NetApp, Inc.                                 | Technology             | Computer Hardware                        | USA     | 9.74B      | 11.99   | 42.43   | -1.21%  | 2,993,057  
241 | HBAN   | Huntington Bancshares Incorporated           | Financial              | Banks - Regional                         | USA     | 9.68B      | 12.15   | 9.45    | 3.50%   | 10,352,858 
242 | UAL    | United Airlines Holdings, Inc.               | Industrials            | Airlines                                 | USA     | 9.58B      | -       | 32.57   | -2.66%  | 31,007,388 
243 | DBX    | Dropbox, Inc.                                | Technology             | Software - Infrastructure                | USA     | 9.54B      | -       | 22.56   | 1.30%   | 2,695,498  
244 | EQH    | Equitable Holdings, Inc.                     | Financial              | Insurance - Diversified                  | USA     | 9.46B      | 2.15    | 20.69   | 3.24%   | 2,693,162  
245 | CHGG   | Chegg, Inc.                                  | Consumer Defensive     | Education & Training Services            | USA     | 9.42B      | -       | 74.99   | 2.95%   | 2,530,071  
246 | VST    | Vistra Energy Corp.                          | Utilities              | Utilities - Independent Power Producers  | USA     | 9.36B      | 12.69   | 18.87   | 2.33%   | 2,482,956  
247 | LYFT   | Lyft, Inc.                                   | Technology             | Software - Application                   | USA     | 9.04B      | -       | 29.89   | 1.36%   | 3,927,136  
248 | FSLY   | Fastly, Inc.                                 | Technology             | Software - Application                   | USA     | 8.89B      | -       | 84.94   | 5.29%   | 5,190,065  
249 | LW     | Lamb Weston Holdings, Inc.                   | Consumer Defensive     | Packaged Foods                           | USA     | 8.85B      | 18.48   | 59.81   | -4.18%  | 2,962,767  
250 | NVAX   | Novavax, Inc.                                | Healthcare             | Biotechnology                            | USA     | 8.78B      | -       | 145.36  | -2.18%  | 5,629,146  
251 | ON     | ON Semiconductor Corporation                 | Technology             | Semiconductors                           | USA     | 8.76B      | 106.40  | 20.96   | 2.24%   | 3,753,044  
252 | AMH    | American Homes 4 Rent                        | Real Estate            | REIT - Residential                       | USA     | 8.71B      | 95.48   | 28.55   | 1.46%   | 2,055,117  
253 | LKQ    | LKQ Corporation                              | Consumer Cyclical      | Auto Parts                               | USA     | 8.69B      | 14.88   | 28.38   | 3.54%   | 3,670,059  
254 | ELAN   | Elanco Animal Health Incorporated            | Healthcare             | Drug Manufacturers - Specialty & Generic | USA     | 8.36B      | -       | 21.15   | 0.24%   | 9,512,505  
255 | JNPR   | Juniper Networks, Inc.                       | Technology             | Communication Equipment                  | USA     | 8.29B      | 25.71   | 24.99   | 3.01%   | 5,772,548  
256 | IRM    | Iron Mountain Incorporated                   | Real Estate            | REIT - Specialty                         | USA     | 8.22B      | 26.97   | 28.26   | 1.40%   | 2,278,142  
257 | WYNN   | Wynn Resorts, Limited                        | Consumer Cyclical      | Resorts & Casinos                        | USA     | 8.18B      | -       | 75.29   | 2.62%   | 3,124,004  
258 | MGM    | MGM Resorts International                    | Consumer Cyclical      | Resorts & Casinos                        | USA     | 8.07B      | 2.92    | 16.25   | 5.45%   | 21,890,124 
259 | TAP    | Molson Coors Beverage Company                | Consumer Defensive     | Beverages - Brewers                      | USA     | 8.02B      | -       | 36.73   | 1.13%   | 2,563,759  
260 | BYND   | Beyond Meat, Inc.                            | Consumer Defensive     | Packaged Foods                           | USA     | 8.01B      | -       | 126.68  | 1.00%   | 2,107,677  
261 | ALLY   | Ally Financial Inc.                          | Financial              | Credit Services                          | USA     | 8.00B      | 12.08   | 21.23   | 1.92%   | 3,291,562  
262 | HST    | Host Hotels & Resorts, Inc.                  | Real Estate            | REIT - Hotel & Motel                     | USA     | 7.94B      | 11.01   | 11.02   | 4.75%   | 9,729,045  
263 | NUAN   | Nuance Communications, Inc.                  | Technology             | Software - Application                   | USA     | 7.85B      | 51.15   | 27.57   | 3.26%   | 4,874,949  
264 | AGNC   | AGNC Investment Corp.                        | Real Estate            | REIT - Mortgage                          | USA     | 7.69B      | -       | 13.77   | 1.47%   | 9,117,144  
265 | ENPH   | Enphase Energy, Inc.                         | Technology             | Solar                                    | USA     | 7.65B      | 35.00   | 59.12   | 3.30%   | 3,078,647  
266 | ANGI   | ANGI Homeservices Inc.                       | Communication Services | Internet Content & Information           | USA     | 7.58B      | 504.50  | 15.14   | 5.54%   | 3,352,315  
267 | LNC    | Lincoln National Corporation                 | Financial              | Insurance - Life                         | USA     | 7.49B      | 11.52   | 38.37   | 5.73%   | 2,242,257  
268 | NWL    | Newell Brands Inc.                           | Consumer Defensive     | Household & Personal Products            | USA     | 7.44B      | -       | 17.60   | 1.97%   | 2,629,757  
269 | COG    | Cabot Oil & Gas Corporation                  | Energy                 | Oil & Gas E&P                            | USA     | 7.42B      | 16.20   | 18.48   | 1.15%   | 4,038,168  
270 | SCI    | Service Corporation International            | Consumer Cyclical      | Personal Services                        | USA     | 7.42B      | 20.47   | 41.17   | 5.84%   | 2,303,581  
271 | IPG    | The Interpublic Group of Companies, Inc.     | Communication Services | Advertising Agencies                     | USA     | 7.33B      | 11.10   | 18.91   | 2.72%   | 8,548,773  
272 | ACI    | Albertsons Companies, Inc.                   | Consumer Defensive     | Grocery Stores                           | USA     | 7.33B      | 9.18    | 15.37   | 1.79%   | 3,155,130  
273 | VER    | VEREIT, Inc.                                 | Real Estate            | REIT - Diversified                       | USA     | 7.28B      | -       | 6.63    | 1.69%   | 10,191,220 
274 | LB     | L Brands, Inc.                               | Consumer Cyclical      | Apparel Retail                           | USA     | 7.25B      | -       | 25.88   | 35.36%  | 38,969,671 
275 | HWM    | Howmet Aerospace Inc.                        | Industrials            | Specialty Industrial Machinery           | USA     | 6.74B      | 14.14   | 15.27   | -0.33%  | 2,680,009  
276 | CF     | CF Industries Holdings, Inc.                 | Basic Materials        | Agricultural Inputs                      | USA     | 6.66B      | 14.70   | 31.36   | 3.77%   | 2,446,942  
277 | GRUB   | Grubhub Inc.                                 | Communication Services | Internet Content & Information           | USA     | 6.60B      | -       | 71.08   | 1.40%   | 2,332,007  
278 | CBSH   | Commerce Bancshares, Inc.                    | Financial              | Banks - Regional                         | USA     | 6.54B      | 16.22   | 58.12   | 2.50%   | 2,203,383  
279 | CZR    | Caesars Entertainment Corporation            | Consumer Cyclical      | Resorts & Casinos                        | USA     | 6.52B      | -       | 33.52   | 10.74%  | 6,948,358  
280 | BG     | Bunge Limited                                | Consumer Defensive     | Farm Products                            | USA     | 6.49B      | -       | 45.18   | 1.30%   | 2,377,109  
281 | ADT    | ADT Inc.                                     | Industrials            | Security & Protection Services           | USA     | 6.44B      | -       | 8.44    | 6.70%   | 4,000,605  
282 | CLR    | Continental Resources, Inc.                  | Energy                 | Oil & Gas E&P                            | USA     | 6.43B      | 16.27   | 17.51   | 3.49%   | 2,312,260  
283 | PLAN   | Anaplan, Inc.                                | Technology             | Software - Infrastructure                | USA     | 6.41B      | -       | 46.11   | 3.83%   | 2,534,995  
284 | IAA    | IAA, Inc.                                    | Industrials            | Specialty Business Services              | USA     | 6.16B      | 33.00   | 44.95   | 13.31%  | 7,290,139  
285 | AAL    | American Airlines Group Inc.                 | Industrials            | Airlines                                 | USA     | 5.99B      | -       | 11.40   | -3.14%  | 51,916,676 
286 | PAA    | Plains All American Pipeline, L.P.           | Energy                 | Oil & Gas Midstream                      | USA     | 5.95B      | -       | 8.11    | 5.05%   | 4,191,756  
287 | STOR   | STORE Capital Corporation                    | Real Estate            | REIT - Diversified                       | USA     | 5.84B      | 18.70   | 24.03   | 2.17%   | 2,111,582  
288 | GOCO   | GoHealth, Inc.                               | Financial              | Insurance Brokers                        | USA     | 5.84B      | -       | 17.51   | -8.08%  | 4,178,132  
289 | REXR   | Rexford Industrial Realty, Inc.              | Real Estate            | REIT - Industrial                        | USA     | 5.74B      | 102.06  | 46.54   | 7.71%   | 4,261,652  
290 | AXTA   | Axalta Coating Systems Ltd.                  | Basic Materials        | Specialty Chemicals                      | USA     | 5.51B      | 21.07   | 23.05   | 0.17%   | 4,637,653  
291 | GPS    | The Gap, Inc.                                | Consumer Cyclical      | Apparel Retail                           | USA     | 5.46B      | -       | 14.15   | 8.35%   | 17,543,980 
292 | FHN    | First Horizon National Corporation           | Financial              | Banks - Regional                         | USA     | 5.41B      | 10.43   | 9.67    | 4.20%   | 3,843,052  
293 | CMA    | Comerica Incorporated                        | Financial              | Banks - Regional                         | USA     | 5.39B      | 9.35    | 38.82   | 5.92%   | 2,480,213  
294 | NLSN   | Nielsen Holdings plc                         | Industrials            | Consulting Services                      | USA     | 5.28B      | -       | 14.60   | -0.34%  | 2,630,921  
295 | MOS    | The Mosaic Company                           | Basic Materials        | Agricultural Inputs                      | USA     | 5.25B      | -       | 13.98   | 3.56%   | 2,664,890  
296 | APA    | Apache Corporation                           | Energy                 | Oil & Gas E&P                            | USA     | 5.22B      | -       | 13.65   | 2.48%   | 7,391,757  
297 | IIVI   | II-VI Incorporated                           | Technology             | Scientific & Technical Instruments       | USA     | 5.18B      | -       | 49.24   | 5.53%   | 2,733,235  
298 | NBL    | Noble Energy, Inc.                           | Energy                 | Oil & Gas E&P                            | USA     | 5.14B      | -       | 10.66   | 0.57%   | 21,673,082 
299 | WEN    | The Wendy's Company                          | Consumer Cyclical      | Restaurants                              | USA     | 5.14B      | 45.94   | 23.43   | 2.27%   | 2,801,008  
300 | HBI    | Hanesbrands Inc.                             | Consumer Cyclical      | Apparel Manufacturing                    | USA     | 5.14B      | 10.43   | 14.64   | 3.03%   | 6,060,339  
301 | NYCB   | New York Community Bancorp, Inc.             | Financial              | Banks - Regional                         | USA     | 5.13B      | 14.32   | 11.08   | 8.20%   | 6,107,930  
302 | ORI    | Old Republic International Corporation       | Financial              | Insurance - Diversified                  | USA     | 5.10B      | 18.06   | 16.49   | 1.10%   | 2,486,794  
303 | KIM    | Kimco Realty Corporation                     | Real Estate            | REIT - Retail                            | USA     | 5.06B      | 15.05   | 11.33   | 1.89%   | 9,078,434  
304 | SPCE   | Virgin Galactic Holdings, Inc.               | Industrials            | Aerospace & Defense                      | USA     | 5.00B      | -       | 22.97   | -3.73%  | 14,154,656 
305 | UAA    | Under Armour, Inc.                           | Consumer Cyclical      | Apparel Manufacturing                    | USA     | 4.98B      | -       | 11.61   | 2.74%   | 7,989,886  
306 | IVZ    | Invesco Ltd.                                 | Financial              | Asset Management                         | USA     | 4.98B      | 10.39   | 10.60   | 2.22%   | 5,529,482  
307 | PENN   | Penn National Gaming, Inc.                   | Consumer Cyclical      | Resorts & Casinos                        | USA     | 4.95B      | -       | 37.42   | 12.71%  | 12,654,384 
308 | TERP   | TerraForm Power, Inc.                        | Utilities              | Utilities - Independent Power Producers  | USA     | 4.91B      | -       | 20.81   | 5.42%   | 3,231,588  
309 | PLNT   | Planet Fitness, Inc.                         | Consumer Cyclical      | Leisure                                  | USA     | 4.89B      | 46.05   | 54.85   | 1.91%   | 2,006,158  
310 | PBCT   | People's United Financial, Inc.              | Financial              | Banks - Regional                         | USA     | 4.78B      | 9.98    | 11.47   | 2.50%   | 6,188,002  
311 | PSTG   | Pure Storage, Inc.                           | Technology             | Computer Hardware                        | USA     | 4.72B      | -       | 17.05   | -1.62%  | 3,164,217  
312 | PE     | Parsley Energy, Inc.                         | Energy                 | Oil & Gas E&P                            | USA     | 4.71B      | -       | 11.23   | 3.98%   | 5,106,807  
313 | WING   | Wingstop Inc.                                | Consumer Cyclical      | Restaurants                              | USA     | 4.67B      | 210.22  | 155.56  | 16.72%  | 2,045,325  
314 | UA     | Under Armour, Inc.                           | Consumer Cyclical      | Apparel Manufacturing                    | USA     | 4.67B      | -       | 10.33   | 2.99%   | 4,557,863  
315 | RUN    | Sunrun Inc.                                  | Technology             | Solar                                    | USA     | 4.64B      | 425.64  | 36.60   | -9.53%  | 9,499,580  
316 | DXC    | DXC Technology Company                       | Technology             | Information Technology Services          | USA     | 4.62B      | -       | 17.80   | 5.08%   | 2,761,651  
317 | USFD   | US Foods Holding Corp.                       | Consumer Defensive     | Food Distribution                        | USA     | 4.60B      | 25.42   | 20.87   | 2.61%   | 3,430,833  
318 | QRTEA  | Qurate Retail, Inc.                          | Consumer Cyclical      | Internet Retail                          | USA     | 4.59B      | -       | 11.14   | 9.75%   | 5,459,357  
319 | MRO    | Marathon Oil Corporation                     | Energy                 | Oil & Gas E&P                            | USA     | 4.57B      | 17.94   | 5.74    | 3.80%   | 16,010,025 
320 | HFC    | HollyFrontier Corporation                    | Energy                 | Oil & Gas Refining & Marketing           | USA     | 4.55B      | 22.57   | 27.74   | 6.08%   | 2,241,291  
321 | NOV    | National Oilwell Varco, Inc.                 | Energy                 | Oil & Gas Equipment & Services           | USA     | 4.46B      | -       | 11.69   | 1.12%   | 7,257,110  
322 | LM     | Legg Mason, Inc.                             | Financial              | Asset Management                         | USA     | 4.45B      | 17.98   | 49.99   | 0.00%   | 3,185,924  
323 | STWD   | Starwood Property Trust, Inc.                | Real Estate            | REIT - Mortgage                          | USA     | 4.34B      | 11.66   | 15.06   | 0.87%   | 2,011,997  
324 | HUN    | Huntsman Corporation                         | Basic Materials        | Chemicals                                | USA     | 4.33B      | 19.87   | 19.59   | 4.04%   | 2,305,239  
325 | HOG    | Harley-Davidson, Inc.                        | Consumer Cyclical      | Recreational Vehicles                    | USA     | 4.33B      | 12.18   | 28.24   | -2.82%  | 4,266,845  
326 | DVN    | Devon Energy Corporation                     | Energy                 | Oil & Gas E&P                            | USA     | 4.22B      | -       | 10.84   | 4.84%   | 7,456,837  
327 | ETRN   | Equitrans Midstream Corporation              | Energy                 | Oil & Gas Midstream                      | USA     | 4.19B      | -       | 9.63    | 3.88%   | 4,849,097  
328 | DKS    | DICK'S Sporting Goods, Inc.                  | Consumer Cyclical      | Specialty Retail                         | USA     | 4.15B      | 45.70   | 46.80   | 3.65%   | 2,748,162  
329 | OPK    | OPKO Health, Inc.                            | Healthcare             | Diagnostics & Research                   | USA     | 4.10B      | -       | 5.79    | 3.76%   | 22,264,855 
330 | GPK    | Graphic Packaging Holding Company            | Consumer Cyclical      | Packaging & Containers                   | USA     | 4.03B      | 33.59   | 14.51   | 1.40%   | 2,839,719  
331 | MAT    | Mattel, Inc.                                 | Consumer Cyclical      | Leisure                                  | USA     | 4.02B      | -       | 11.30   | -0.18%  | 3,604,778  
332 | LSCC   | Lattice Semiconductor Corporation            | Technology             | Semiconductors                           | USA     | 4.01B      | 93.79   | 30.20   | -2.93%  | 3,597,371  
333 | ONEM   | 1Life Healthcare, Inc.                       | Healthcare             | Health Information Services              | USA     | 3.97B      | -       | 30.56   | -8.88%  | 7,130,875  
334 | TPR    | Tapestry, Inc.                               | Consumer Cyclical      | Luxury Goods                             | USA     | 3.94B      | -       | 13.87   | 2.66%   | 4,981,134  
335 | FOLD   | Amicus Therapeutics, Inc.                    | Healthcare             | Biotechnology                            | USA     | 3.79B      | -       | 14.52   | -0.21%  | 4,157,080  
336 | HLI    | Houlihan Lokey, Inc.                         | Financial              | Capital Markets                          | USA     | 3.78B      | 19.71   | 55.16   | -1.62%  | 2,720,260  
337 | UNM    | Unum Group                                   | Financial              | Insurance - Life                         | USA     | 3.73B      | 3.85    | 18.19   | 2.02%   | 3,917,522  
338 | TENB   | Tenable Holdings, Inc.                       | Technology             | Software - Infrastructure                | USA     | 3.72B      | -       | 35.80   | 17.88%  | 4,728,712  
339 | EQT    | EQT Corporation                              | Energy                 | Oil & Gas E&P                            | USA     | 3.72B      | -       | 14.49   | 4.85%   | 4,452,100  
340 | AAN    | Aaron's, Inc.                                | Industrials            | Rental & Leasing Services                | USA     | 3.70B      | -       | 54.39   | 20.41%  | 4,157,917  
341 | NCLH   | Norwegian Cruise Line Holdings Ltd.          | Consumer Cyclical      | Travel Services                          | USA     | 3.68B      | -       | 14.34   | 0.84%   | 27,689,335 
342 | NVST   | Envista Holdings Corporation                 | Healthcare             | Medical Instruments & Supplies           | USA     | 3.67B      | 21.33   | 22.74   | 3.65%   | 2,157,230  
343 | PHYS   | Sprott Physical Gold Trust                   | Financial              | Exchange Traded Fund                     | USA     | 3.64B      | -       | 15.71   | 1.29%   | 2,303,312  
344 | XRX    | Xerox Holdings Corporation                   | Technology             | Information Technology Services          | USA     | 3.63B      | 7.20    | 15.86   | 4.27%   | 5,747,644  
345 | FEYE   | FireEye, Inc.                                | Technology             | Software - Infrastructure                | USA     | 3.62B      | -       | 15.84   | 18.39%  | 32,183,282 
346 | AMKR   | Amkor Technology, Inc.                       | Technology             | Semiconductors                           | USA     | 3.57B      | 16.43   | 14.16   | -1.19%  | 2,131,079  
347 | NRZ    | New Residential Investment Corp.             | Real Estate            | REIT - Mortgage                          | USA     | 3.47B      | -       | 8.15    | 2.64%   | 4,085,278  
348 | INO    | Inovio Pharmaceuticals, Inc.                 | Healthcare             | Biotechnology                            | USA     | 3.45B      | -       | 19.48   | -6.30%  | 21,194,474 
349 | CLDR   | Cloudera, Inc.                               | Technology             | Software - Application                   | USA     | 3.44B      | -       | 11.48   | 3.24%   | 2,552,321  
350 | WPX    | WPX Energy, Inc.                             | Energy                 | Oil & Gas E&P                            | USA     | 3.40B      | 22.57   | 5.98    | 6.79%   | 10,690,683 
351 | KSS    | Kohl's Corporation                           | Consumer Cyclical      | Department Stores                        | USA     | 3.35B      | 40.50   | 20.09   | -0.94%  | 7,337,466  
352 | FL     | Foot Locker, Inc.                            | Consumer Cyclical      | Footwear & Accessories                   | USA     | 3.35B      | 15.91   | 30.97   | 2.86%   | 2,187,926  
353 | SDC    | SmileDirectClub, Inc.                        | Healthcare             | Medical Devices                          | USA     | 3.35B      | -       | 8.67    | 2.60%   | 4,181,266  
354 | WSC    | WillScot Corporation                         | Industrials            | Rental & Leasing Services                | USA     | 3.27B      | -       | 15.00   | 2.74%   | 3,625,611  
355 | SFM    | Sprouts Farmers Market, Inc.                 | Consumer Defensive     | Grocery Stores                           | USA     | 3.25B      | 17.32   | 27.15   | 0.48%   | 3,991,148  
356 | COTY   | Coty Inc.                                    | Consumer Defensive     | Household & Personal Products            | USA     | 3.07B      | -       | 3.87    | -4.91%  | 13,098,157 
357 | HL     | Hecla Mining Company                         | Basic Materials        | Gold                                     | USA     | 2.87B      | -       | 5.52    | 1.10%   | 12,722,689 
358 | HRB    | H&R Block, Inc.                              | Consumer Cyclical      | Personal Services                        | USA     | 2.86B      | 157.26  | 14.94   | 1.01%   | 3,285,846  
359 | THC    | Tenet Healthcare Corporation                 | Healthcare             | Medical Care Facilities                  | USA     | 2.83B      | -       | 26.88   | 5.41%   | 2,458,553  
360 | JBLU   | JetBlue Airways Corporation                  | Industrials            | Airlines                                 | USA     | 2.79B      | 12.18   | 9.95    | -3.49%  | 17,326,055 
